Date and Time:                Fri Sep 24 15:29:10.049 2021
Software Version:             4.32.30000.0
Temperature (C):              -60
Model:                        DU401_BR,DD
Data Type:                    Counts
Acquisition Mode:             Single Scan
Trigger Mode:                 Internal
Exposure Time (secs):         0.01326
Readout Mode:                 Full Vertical Binning
Horizontal binning:           1
Extended Data Range:          off
Horizontally flipped:         true
Vertical Shift Speed (usecs): 16.25
Pixel Readout Time (usecs):   10
Serial Number:                CCD-23538
Pre-Amplifier Gain:           1.7x
Spurious Noise Filter Mode:   No Filter
Photon counted:               false
Data Averaging Filter Mode:   No Filter
KY328i:
Serial Number:                KY-3866
Wavelength (nm):              800
Grating Groove Density (l/mm):150.187
Grating Blaze:                500nm
Input Flipper Port:           Direct
Output Flipper Port:          Direct
Side Iris Steps:              100



538.4187	975
538.93048	979
539.4422	974
539.95392	978
540.46564	975
540.97742	973
541.48914	978
542.00085	972
542.51263	978
543.02435	979
543.53613	979
544.04785	982
544.55963	982
545.07141	982
545.58313	982
546.09491	976
546.60669	977
547.11841	985
547.63019	983
548.14197	983
548.65375	981
549.16553	988
549.67731	982
550.18909	991
550.70087	988
551.21265	985
551.72443	981
552.23621	991
552.74799	993
553.25977	987
553.77161	983
554.28339	983
554.79517	986
555.30695	990
555.81879	993
556.33057	989
556.84241	994
557.35419	995
557.86603	989
558.37781	1000
558.88965	990
559.40143	990
559.91327	995
560.42505	996
560.93689	998
561.44873	993
561.96057	991
562.47235	998
562.98419	1001
563.49603	999
564.00787	1003
564.51971	1011
565.03156	1001
565.5434	1003
566.05524	1006
566.56708	1004
567.07892	1001
567.59076	1001
568.1026	1010
568.61444	1003
569.12628	1013
569.63812	1006
570.15002	1008
570.66187	1011
571.17371	1010
571.68555	1014
572.19745	1009
572.70929	1018
573.22119	1020
573.73303	1012
574.24487	1016
574.75677	1021
575.26862	1021
575.78052	1018
576.29242	1016
576.80426	1019
577.31616	1020
577.828	1020
578.3399	1030
578.85181	1025
579.36365	1028
579.87555	1034
580.38745	1029
580.89935	1040
581.41125	1032
581.9231	1034
582.435	1041
582.9469	1039
583.4588	1046
583.9707	1034
584.4826	1042
584.99451	1046
585.50641	1057
586.01831	1048
586.53021	1052
587.04211	1055
587.55402	1060
588.06592	1061
